age,annual_income,employment_length_years,credit_score,loan_amount,existing_debt,debt_to_income,home_ownership,purpose,num_delinquencies_2yr,default
30,49297.12,1.3,728.0,18613.35,9234.4,0.244,MORTGAGE,other,0,0
60,36191.63,0.0,849.0,5080.56,0.0,0.021,MORTGAGE,debt_consolidation,1,0
21,47653.33,7.9,681.0,13117.0,22622.39,0.516,RENT,debt_consolidation,0,1
60,23406.24,0.0,694.0,8649.76,16231.22,0.749,RENT,other,0,0
59,60357.84,8.5,716.0,23309.91,10109.0,0.225,MORTGAGE,credit_card,2,0
59,51269.17,4.5,756.0,6741.74,0.0,0.02,RENT,debt_consolidation,0,0
53,68729.76,3.6,752.0,34106.3,0.0,0.074,RENT,debt_consolidation,0,0
44,60009.99,8.5,704.0,25426.94,13294.54,0.285,OWN,debt_consolidation,0,0
55,60167.25,9.1,678.0,3975.48,0.0,0.01,MORTGAGE,small_business,0,0
34,18842.32,11.7,743.0,29745.85,17381.62,1.159,MORTGAGE,debt_consolidation,1,1
59,67314.79,2.8,674.0,21568.56,17869.16,0.314,RENT,debt_consolidation,1,0
48,46728.34,5.9,583.0,13644.39,0.0,0.044,RENT,other,0,0
43,50835.04,2.8,567.0,21081.65,12483.44,0.308,RENT,small_business,1,0
45,81206.61,6.8,658.0,23321.89,2610.57,0.075,OWN,debt_consolidation,0,0
48,37014.11,2.1,689.0,8175.1,21413.64,0.612,MORTGAGE,other,2,0
22,88779.61,3.9,850.0,22514.67,44907.72,0.544,RENT,medical,1,0
27,91111.88,3.9,671.0,11105.49,10810.78,0.137,OWN,home_improvement,0,0
33,73819.61,7.5,683.0,22328.37,26777.43,0.408,MORTGAGE,credit_card,0,0
26,30484.48,6.0,650.0,13772.26,22278.3,0.799,RENT,credit_card,0,0
42,12000.0,8.5,726.0,5933.95,11224.26,1.01,RENT,home_improvement,0,0
53,81970.87,5.5,701.0,20671.97,17320.61,0.249,RENT,debt_consolidation,0,1
53,57784.63,3.1,632.0,11591.64,0.0,0.03,MORTGAGE,other,0,1
44,36370.06,7.0,604.0,16390.88,13377.31,0.435,RENT,debt_consolidation,0,0
62,84339.06,1.4,650.0,18679.74,8999.91,0.14,RENT,debt_consolidation,0,0
48,33461.03,8.8,617.0,28223.4,25595.4,0.891,OWN,medical,0,1
24,44396.12,4.6,663.0,11077.93,5734.79,0.167,MORTGAGE,home_improvement,1,0
58,68122.26,7.0,691.0,7366.98,1457.52,0.038,OWN,credit_card,0,0
49,27159.93,7.1,642.0,29812.22,1842.59,0.232,RENT,debt_consolidation,0,0
52,52262.98,14.0,789.0,15028.65,20556.66,0.436,OWN,credit_card,0,0
48,82228.43,7.9,767.0,10093.69,10160.52,0.142,MORTGAGE,home_improvement,0,0
48,60277.77,6.4,663.0,18260.76,0.0,0.045,RENT,debt_consolidation,0,0
25,86185.66,2.5,608.0,11907.39,22145.89,0.278,OWN,medical,0,1
48,83340.06,10.0,678.0,12590.17,0.0,0.023,RENT,debt_consolidation,1,0
59,55193.46,4.6,670.0,38163.06,6515.23,0.222,OWN,medical,1,1
35,12000.0,0.0,675.0,6107.9,9892.94,0.901,MORTGAGE,home_improvement,0,0
50,27355.69,5.0,650.0,2057.4,1042.2,0.049,MORTGAGE,debt_consolidation,0,0
22,74083.35,7.0,601.0,26029.79,0.0,0.053,OWN,credit_card,0,0
38,16243.71,1.9,683.0,11587.18,20134.08,1.346,RENT,home_improvement,0,1
42,46832.69,5.4,654.0,17871.88,18518.49,0.453,MORTGAGE,debt_consolidation,0,1
69,63462.02,5.6,660.0,20744.11,12538.18,0.247,MORTGAGE,debt_consolidation,1,0
31,91739.27,5.7,687.0,1000.0,15653.31,0.172,RENT,small_business,0,0
34,40624.51,12.2,675.0,25265.34,0.0,0.093,RENT,debt_consolidation,0,0
41,38912.81,0.0,685.0,9947.73,17219.48,0.481,RENT,home_improvement,0,0
69,53688.86,16.2,650.0,32089.81,16136.1,0.39,RENT,credit_card,0,0
62,63772.82,5.8,707.0,7833.71,16423.42,0.276,MORTGAGE,debt_consolidation,0,0
22,51143.83,8.9,626.0,29091.5,16388.04,0.406,OWN,debt_consolidation,0,0
32,81231.71,6.6,598.0,30720.48,21942.36,0.327,MORTGAGE,medical,0,0
61,35021.4,0.0,613.0,10594.53,10840.0,0.355,MORTGAGE,medical,0,0
23,58004.02,0.7,629.0,13287.25,12629.59,0.252,MORTGAGE,credit_card,0,0
62,66130.32,3.4,583.0,12173.57,0.0,0.028,RENT,debt_consolidation,0,1
34,44994.18,11.0,553.0,28676.8,18856.83,0.515,MORTGAGE,medical,0,0
65,75992.75,0.0,718.0,16614.81,5313.32,0.103,OWN,debt_consolidation,0,0
35,58723.96,1.7,776.0,19794.65,6032.88,0.153,RENT,credit_card,0,0
42,74721.14,6.8,722.0,13708.3,7910.23,0.133,RENT,credit_card,0,0
53,59852.6,8.4,644.0,19248.98,1277.12,0.07,MORTGAGE,home_improvement,0,0
27,64410.11,8.2,551.0,19834.51,10934.78,0.216,MORTGAGE,home_improvement,0,0
48,39190.21,1.1,694.0,9628.88,20241.97,0.553,RENT,home_improvement,0,0
45,39230.71,0.0,559.0,30952.26,881.9,0.141,RENT,small_business,0,1
59,85609.91,8.7,674.0,13166.67,11834.18,0.161,RENT,debt_consolidation,0,0
69,70887.76,13.2,620.0,24269.96,18664.08,0.315,RENT,medical,0,0
53,29425.87,4.3,509.0,3644.12,0.0,0.019,RENT,home_improvement,0,0
41,59521.59,0.3,791.0,21156.06,30543.18,0.566,MORTGAGE,other,0,0
40,12000.0,3.9,586.0,24583.83,7380.13,0.922,OWN,home_improvement,0,0
41,40651.5,8.0,653.0,17393.08,2650.27,0.129,MORTGAGE,medical,0,0
60,79025.69,4.8,670.0,24683.08,12815.44,0.209,RENT,debt_consolidation,1,0
36,51871.36,13.0,645.0,8634.48,5250.79,0.126,RENT,debt_consolidation,0,0
29,57947.82,10.6,715.0,19252.73,11293.46,0.245,OWN,debt_consolidation,0,0
37,12000.0,6.9,624.0,1313.42,4509.69,0.392,RENT,debt_consolidation,0,0
22,45193.66,0.0,709.0,16337.08,23268.8,0.569,OWN,medical,0,1
26,63456.81,2.5,704.0,7863.9,38838.27,0.631,MORTGAGE,debt_consolidation,1,0
25,66632.25,3.3,577.0,14381.16,19229.76,0.321,RENT,debt_consolidation,0,0
58,79058.89,2.3,698.0,27413.17,13995.68,0.229,RENT,debt_consolidation,0,0
56,49743.56,7.0,601.0,30640.52,6479.32,0.223,MORTGAGE,debt_consolidation,2,1
55,50858.6,7.1,593.0,3458.42,22612.45,0.455,RENT,home_improvement,0,1
43,21697.06,0.0,702.0,26207.47,4317.84,0.38,OWN,credit_card,0,1
56,49886.96,10.0,649.0,27592.1,15185.88,0.387,RENT,debt_consolidation,0,1
28,23460.62,6.1,708.0,17921.88,6799.16,0.404,RENT,debt_consolidation,0,0
65,12000.0,7.8,709.0,27221.55,0.0,0.34,RENT,other,0,0
45,27870.52,9.7,573.0,11265.2,9869.62,0.415,MORTGAGE,debt_consolidation,0,0
66,92717.12,2.2,736.0,10374.78,2146.97,0.04,OWN,credit_card,0,0
28,48235.97,12.3,701.0,10413.69,26755.96,0.587,OWN,credit_card,0,1
45,60496.93,5.3,636.0,21425.51,4458.8,0.127,RENT,credit_card,0,0
55,42162.59,13.6,670.0,14124.69,10698.09,0.304,MORTGAGE,home_improvement,0,0
45,12000.0,1.5,738.0,8557.64,5504.92,0.566,OWN,debt_consolidation,1,0
42,78402.83,13.2,656.0,8988.91,0.0,0.017,MORTGAGE,debt_consolidation,0,0
29,12000.0,1.5,839.0,15010.92,18844.29,1.758,RENT,debt_consolidation,0,1
39,41130.18,18.7,792.0,7357.21,11053.99,0.296,OWN,other,0,0
32,53634.63,1.2,689.0,21015.32,35432.37,0.719,RENT,home_improvement,0,0
35,60762.24,11.3,663.0,25755.78,22474.54,0.433,RENT,debt_consolidation,0,1
54,36838.26,4.2,666.0,23764.63,12700.48,0.442,RENT,debt_consolidation,0,0
51,12000.0,9.6,635.0,41199.92,15669.84,1.821,OWN,home_improvement,1,1
50,34972.67,5.8,689.0,18697.46,11099.5,0.398,OWN,credit_card,0,0
38,36281.05,0.5,732.0,30257.03,1727.01,0.173,OWN,debt_consolidation,0,0
68,35672.66,0.0,579.0,16654.25,0.0,0.07,RENT,credit_card,0,1
25,79251.46,18.5,728.0,12494.2,1444.85,0.042,RENT,debt_consolidation,2,0
37,24659.93,6.4,750.0,16072.13,25374.0,1.127,RENT,debt_consolidation,1,1
26,62524.48,0.0,723.0,16497.38,14571.04,0.273,RENT,debt_consolidation,0,0
37,58957.43,7.5,670.0,13887.47,17371.79,0.33,RENT,home_improvement,0,0
68,79011.38,9.4,720.0,5257.36,19871.49,0.261,MORTGAGE,medical,1,0
38,51671.7,2.4,777.0,6185.08,9999.07,0.211,OWN,home_improvement,0,0
65,74778.27,2.5,676.0,25198.62,5944.19,0.13,RENT,medical,0,1
45,50694.5,5.9,682.0,22507.17,32197.14,0.702,RENT,home_improvement,0,0
55,65859.81,12.0,840.0,31008.7,17308.28,0.333,RENT,home_improvement,0,0
43,17426.47,6.5,703.0,11465.14,0.0,0.099,MORTGAGE,other,0,0
34,12000.0,13.3,604.0,10625.64,0.0,0.133,MORTGAGE,small_business,0,0
58,64438.67,11.7,745.0,4657.32,19500.17,0.313,MORTGAGE,debt_consolidation,1,0
68,65779.58,4.9,710.0,24503.53,3165.59,0.104,MORTGAGE,home_improvement,0,0
33,66887.56,0.0,631.0,6970.83,10697.76,0.176,RENT,debt_consolidation,0,0
59,41876.69,4.9,597.0,14722.32,0.0,0.053,MORTGAGE,debt_consolidation,2,0
33,92243.06,8.6,698.0,17819.01,7368.45,0.109,MORTGAGE,credit_card,0,0
56,43503.05,6.3,675.0,1000.0,21122.32,0.489,OWN,debt_consolidation,1,1
59,65521.98,9.2,587.0,21992.44,6647.21,0.152,RENT,other,0,0
43,69865.91,10.3,673.0,24090.57,298.02,0.056,RENT,medical,1,0
57,97968.5,8.7,669.0,17491.06,9556.91,0.124,MORTGAGE,home_improvement,0,1
34,47074.26,4.6,675.0,14218.8,12347.84,0.308,MORTGAGE,debt_consolidation,1,0
24,38670.18,8.6,717.0,14709.53,8476.41,0.276,RENT,debt_consolidation,0,0
25,17546.37,17.2,548.0,27601.9,0.0,0.236,MORTGAGE,debt_consolidation,0,0
42,93809.18,0.0,597.0,15479.99,15933.66,0.195,RENT,home_improvement,0,1
65,65535.27,8.4,643.0,14818.38,6261.59,0.129,RENT,credit_card,0,0
27,66326.53,15.2,779.0,8820.27,13743.27,0.227,OWN,debt_consolidation,0,0
43,132917.61,0.1,850.0,1000.0,2236.07,0.018,RENT,small_business,1,0
55,63126.12,11.0,680.0,24866.74,24458.9,0.447,RENT,debt_consolidation,0,1
30,22441.96,11.7,683.0,14973.98,19125.22,0.952,RENT,small_business,0,1
56,50102.41,0.0,497.0,7121.61,8403.29,0.189,MORTGAGE,other,1,1
35,30630.44,9.6,748.0,33992.73,15042.25,0.658,MORTGAGE,credit_card,0,0
60,45103.29,4.6,714.0,18954.68,28357.38,0.692,RENT,medical,0,1
49,44935.26,5.7,701.0,13145.88,23750.67,0.572,RENT,other,2,0
47,40324.39,4.4,587.0,24163.72,27092.49,0.762,RENT,debt_consolidation,0,1
29,20167.94,12.6,828.0,18311.5,18050.96,1.031,MORTGAGE,debt_consolidation,0,0
43,94812.54,5.4,794.0,18136.67,6580.21,0.098,RENT,credit_card,0,0
62,62471.2,3.7,702.0,9521.93,17883.96,0.309,MORTGAGE,other,0,0
21,49363.2,3.8,754.0,21266.99,28992.25,0.652,RENT,home_improvement,0,0
58,73940.95,4.3,684.0,23462.53,18056.5,0.292,MORTGAGE,debt_consolidation,1,0
45,66776.68,0.6,742.0,9570.63,3729.28,0.077,MORTGAGE,debt_consolidation,0,0
56,61892.27,3.6,582.0,1000.0,12662.44,0.207,MORTGAGE,debt_consolidation,0,0
53,72124.95,6.6,509.0,23550.51,19604.09,0.321,RENT,debt_consolidation,0,0
42,58348.37,8.0,585.0,20656.12,13719.71,0.288,RENT,small_business,0,1
36,71755.54,12.0,620.0,22578.87,19633.16,0.321,MORTGAGE,other,2,0
51,73827.81,7.2,632.0,15415.64,5805.78,0.11,RENT,other,1,0
27,59067.97,3.6,714.0,23664.38,9850.46,0.227,RENT,debt_consolidation,1,0
49,49490.14,0.9,661.0,9124.18,15412.03,0.339,MORTGAGE,other,0,0
25,93259.95,7.5,678.0,13320.59,15885.8,0.192,RENT,debt_consolidation,0,0
52,43052.46,5.4,591.0,5577.63,5671.14,0.151,MORTGAGE,debt_consolidation,1,1
51,64782.84,5.6,585.0,25417.31,0.0,0.059,RENT,debt_consolidation,0,0
25,65347.71,7.3,683.0,14579.23,0.0,0.033,MORTGAGE,small_business,2,0
58,39761.05,8.6,639.0,17086.57,11532.23,0.354,RENT,debt_consolidation,0,0
41,34804.44,7.3,680.0,18899.68,13830.51,0.479,MORTGAGE,credit_card,1,0
59,46153.7,5.1,721.0,12852.93,9929.6,0.257,MORTGAGE,debt_consolidation,1,0
23,42694.58,2.0,803.0,22401.76,12351.46,0.368,RENT,debt_consolidation,0,0
29,18546.74,2.9,678.0,29922.11,28010.51,1.752,MORTGAGE,debt_consolidation,0,1
45,38712.62,10.2,816.0,23817.26,7035.24,0.274,RENT,debt_consolidation,0,0
30,61655.57,3.9,710.0,1000.0,15650.52,0.256,MORTGAGE,debt_consolidation,1,0
37,86648.59,0.0,732.0,15988.19,28838.9,0.361,OWN,debt_consolidation,0,0
53,68859.78,11.8,759.0,16396.97,1637.05,0.059,RENT,credit_card,1,0
28,12000.0,1.3,734.0,26180.29,29703.44,2.803,RENT,debt_consolidation,0,1
54,71032.59,6.2,620.0,10058.21,21711.27,0.327,OWN,home_improvement,0,0
26,41046.21,8.5,761.0,5636.17,8897.61,0.237,RENT,debt_consolidation,0,0
29,66327.0,6.0,652.0,22520.44,0.0,0.051,RENT,debt_consolidation,0,0
49,54646.62,0.0,703.0,14826.95,25906.07,0.515,RENT,medical,0,1
59,50182.81,8.0,690.0,9386.13,29702.58,0.62,RENT,debt_consolidation,0,0
29,52444.11,12.6,766.0,12658.99,5053.37,0.133,MORTGAGE,debt_consolidation,0,0
35,54439.39,9.9,709.0,2300.17,30331.1,0.563,RENT,credit_card,2,0
66,88610.12,0.0,576.0,16531.08,0.0,0.028,OWN,medical,1,0
69,54508.5,16.6,837.0,12265.9,14916.73,0.307,MORTGAGE,medical,0,0
49,82138.4,0.0,743.0,19796.84,10224.09,0.161,MORTGAGE,debt_consolidation,0,0
42,78497.65,0.6,639.0,13155.49,0.0,0.025,RENT,debt_consolidation,0,0
37,71676.14,9.9,595.0,15319.49,9500.89,0.165,MORTGAGE,credit_card,0,0
51,12000.0,8.3,751.0,10902.25,11691.51,1.111,RENT,credit_card,1,0
49,82915.82,6.4,604.0,12708.41,103.1,0.024,OWN,debt_consolidation,0,0
35,43552.47,3.2,740.0,4832.16,18751.84,0.447,MORTGAGE,home_improvement,1,0
22,72893.18,12.7,760.0,24289.94,5183.58,0.121,RENT,other,2,0
28,30686.68,5.8,631.0,14624.86,8407.8,0.345,RENT,debt_consolidation,0,0
67,25373.15,0.0,625.0,1000.0,26469.05,1.049,RENT,small_business,0,1
41,104409.72,12.2,645.0,1000.0,5455.43,0.054,MORTGAGE,debt_consolidation,0,0
44,31075.42,7.1,606.0,24337.92,0.0,0.117,MORTGAGE,medical,0,0
43,83652.67,11.6,697.0,14610.9,9484.56,0.14,OWN,small_business,0,0
59,57960.51,8.9,708.0,14820.74,13089.68,0.264,MORTGAGE,home_improvement,0,0
24,44497.0,18.0,735.0,14975.75,9585.73,0.266,MORTGAGE,medical,1,0
25,53879.28,4.5,618.0,19386.36,20603.31,0.436,RENT,small_business,0,1
34,22472.64,6.1,743.0,28775.25,16002.13,0.904,RENT,medical,2,1
44,54656.14,9.6,606.0,19006.08,6005.14,0.162,RENT,home_improvement,0,0
53,27931.49,4.5,743.0,17766.3,18964.86,0.774,RENT,debt_consolidation,0,0
45,45113.91,10.0,569.0,9858.48,16635.76,0.402,MORTGAGE,credit_card,0,0
42,78132.49,0.0,798.0,1116.31,16333.45,0.211,RENT,debt_consolidation,0,0
66,61354.77,5.6,641.0,19270.26,10402.75,0.217,MORTGAGE,other,0,0
28,17945.74,5.5,725.0,19997.26,14853.96,0.995,RENT,debt_consolidation,0,1
49,76287.2,5.3,731.0,24896.93,13090.84,0.221,MORTGAGE,home_improvement,0,0
47,54822.51,1.6,585.0,30409.27,8997.2,0.247,MORTGAGE,credit_card,0,1
44,41445.37,10.5,743.0,4561.01,16791.88,0.422,RENT,debt_consolidation,0,0
60,73666.91,3.5,639.0,9473.96,17566.79,0.258,MORTGAGE,debt_consolidation,0,0
34,50819.83,7.0,657.0,21014.37,17571.28,0.408,MORTGAGE,debt_consolidation,1,0
67,25858.47,5.8,630.0,15010.69,18170.16,0.79,MORTGAGE,credit_card,0,1
37,101195.24,8.5,801.0,27990.51,0.0,0.041,MORTGAGE,credit_card,0,0
47,54567.81,13.2,592.0,13257.77,21043.26,0.422,RENT,debt_consolidation,0,0
46,52965.37,7.0,712.0,33009.06,2359.1,0.138,MORTGAGE,medical,1,0
62,44872.37,10.2,633.0,15503.86,23201.07,0.569,MORTGAGE,debt_consolidation,0,0
42,84499.14,6.7,762.0,29649.02,0.0,0.053,MORTGAGE,credit_card,0,0
34,41878.04,3.5,850.0,1000.0,27819.37,0.668,RENT,debt_consolidation,0,0
22,16375.5,5.3,633.0,19377.15,0.0,0.177,RENT,home_improvement,0,1
38,38033.06,4.6,691.0,15209.77,15232.52,0.46,RENT,credit_card,0,0
61,88169.37,8.8,651.0,1000.0,8343.3,0.096,MORTGAGE,medical,0,0
21,75803.3,6.5,758.0,14862.16,16634.1,0.249,RENT,small_business,0,0
64,48624.61,2.0,661.0,3860.18,29254.68,0.614,MORTGAGE,credit_card,0,0
47,89331.38,4.9,748.0,10323.11,14366.31,0.178,RENT,other,0,0
27,73698.56,0.0,650.0,17746.66,21395.79,0.326,RENT,home_improvement,0,0
35,48335.27,5.1,848.0,13893.93,27346.0,0.609,RENT,debt_consolidation,0,0
48,50852.25,6.0,516.0,18206.82,5809.66,0.168,MORTGAGE,credit_card,1,1
36,63232.94,15.0,708.0,16414.54,15620.14,0.286,RENT,home_improvement,1,0
26,34202.83,12.7,679.0,36189.4,25680.69,0.91,RENT,credit_card,1,1
53,55112.63,0.8,676.0,17333.24,15527.46,0.329,RENT,home_improvement,0,1
53,62712.83,7.0,701.0,16012.56,6135.08,0.136,MORTGAGE,debt_consolidation,0,0
26,12825.84,7.1,684.0,18788.23,17150.68,1.557,RENT,debt_consolidation,1,1
34,50266.99,4.8,696.0,14763.81,13148.74,0.306,RENT,home_improvement,0,0
